"GEOID","HighSewer","MedSewer","LowSewer"
"'010450211024","NO","NO","NO"
"'010610503004","YES","YES","YES"
"'010610503006","YES","YES","YES"
"'010450214004","NO","NO","NO"
"'010450205003","YES","YES","YES"
"'010450207002","YES","YES","YES"
"'011010032001","YES","YES","YES"
"'011010011002","YES","YES","YES"
"'011010012003","YES","YES","YES"
"'011010059023","YES","YES","YES"
"'011010054024","YES","YES","YES"
"'011010054091","YES","YES","YES"
"'011010030003","YES","YES","YES"
"'011010023003","YES","YES","YES"
"'011010031003","YES","YES","YES"
"'011010032005","YES","YES","YES"
"'011010004001","YES","YES","YES"
"'011010026002","YES","YES","YES"
"'011010016003","YES","YES","YES"
"'011010033012","YES","YES","YES"
"'011010017003","YES","YES","YES"
"'011010021003","YES","YES","YES"
"'011010053011","YES","YES","YES"
"'010210601011","YES","YES","YES"
"'010210605003","NO","NO","NO"
"'011210120001","YES","YES","YES"
"'011210106001","YES","YES","YES"
"'010359606002","NO","NO","NO"
"'010690403012","YES","YES","YES"
"'010010201001","NO","NO","NO"
"'010510311003","YES","YES","NO"
"'010330207031","YES","YES","YES"
"'010330206002","YES","YES","YES"
"'010330207044","YES","YES","YES"
"'010970076002","YES","YES","YES"
"'010970026003","YES","YES","YES"
"'010970012002","YES","YES","YES"
"'010970032052","YES","YES","YES"
"'010970037072","YES","YES","YES"
"'011170306071","YES","YES","YES"
"'011170303173","YES","YES","YES"
"'011170303062","YES","YES","YES"
"'010719508001","YES","YES","YES"
"'010730059101","YES","YES","YES"
"'010730029003","YES","YES","YES"
"'010730022002","YES","YES","YES"
"'010730057021","YES","YES","YES"
"'010730051011","YES","YES","YES"
"'010730108013","YES","YES","YES"
"'010730107012","YES","YES","YES"
"'010730141042","NO","NO","NO"
"'010730103013","YES","YES","YES"
"'010730141053","YES","YES","NO"
"'010730144063","YES","YES","YES"
"'010730129082","YES","YES","YES"
"'010730144091","YES","YES","YES"
"'010730129131","YES","YES","YES"
"'010730107011","YES","YES","YES"
"'010730144102","YES","YES","YES"
