"GEOID","HS_SepCnt","HS_SepDn","MS_SepCnt","MS_SepDn","LS_SepCnt","LS_SepDn","AREA_SQKM"
"'010150021043",0,0,0,0,0,0,2.178
"'010550102022",0,0,517,112.533,517,112.533,4.594
"'010599737022",211,7.38,211,7.38,211,7.38,28.59
"'011150405072",519,24.984,519,24.984,519,24.984,20.773
"'011150401072",0,0,0,0,0,0,6.561
"'011150402113",0,0,0,0,0,0,5.201
"'011150402133",290,58.069,290,58.069,290,58.069,4.994
"'010550105031",994,84.636,994,84.636,994,84.636,11.745
"'010939640012",317,8.662,317,8.662,317,8.662,36.598
"'010770116061",876,37.584,876,37.584,876,37.584,23.308
"'010770111014",0,0,0,0,0,0,5.425
"'010770109022",0,0,0,0,0,0,1.564
"'010770109021",0,0,0,0,0,0,0.876
"'011010059031",432,6.397,432,6.397,432,6.397,67.528
"'011010033031",0,0,0,0,0,0,1.263
"'011010029021",0,0,0,0,0,0,1.173
"'011010056142",0,0,0,0,0,0,0.938
"'011010033043",0,0,0,0,0,0,1.047
"'011010028004",0,0,0,0,0,0,0.746
"'011010056141",0,0,0,0,0,0,0.905
"'010970056021",0,0,0,0,580,134.099,4.325
"'010970002002",0,0,0,0,0,0,1.033
"'010970037121",0,0,0,0,0,0,1.482
"'010970034102",0,0,0,0,0,0,6.588
"'010970033013",0,0,0,0,0,0,0.378
"'010970064102",0,0,0,0,0,0,1.929
"'010970061033",295,53.712,295,53.712,295,53.712,5.492
"'010970037112",0,0,0,0,0,0,0.961
"'010970037122",0,0,0,0,0,0,1.827
"'010970069031",0,0,0,0,0,0,3.997
"'010970034063",0,0,0,0,0,0,0.761
"'010970067041",0,0,647,62.6,647,62.6,10.335
"'010970071022",0,0,723,71.777,723,71.777,10.073
"'010719501011",680,16.992,680,16.992,680,16.992,40.018
"'010950308044",0,0,0,0,0,0,1.2
"'010970037043",0,0,0,0,0,0,1.012
"'010970064092",0,0,0,0,0,0,3.378
"'010970037123",0,0,0,0,0,0,0.894
"'010950302041",446,16.05,446,16.05,446,16.05,27.789
"'010950304011",0,0,0,0,0,0,2.693
"'010730142072",748,36.791,748,36.791,748,36.791,20.331
"'010730142083",0,0,0,0,0,0,1.914
"'010730045011",0,0,0,0,0,0,0.722
"'010730024011",0,0,0,0,0,0,1.528
"'010730144083",0,0,0,0,0,0,1.179
"'010730111172",0,0,0,0,0,0,0.589
"'010730129133",0,0,0,0,0,0,1.456
"'010730129074",0,0,0,0,0,0,0.757
"'010730023032",0,0,0,0,0,0,1.538
"'010730118052",0,0,0,0,0,0,0.726
"'010730118051",0,0,0,0,0,0,0.636
"'010730108063",0,0,0,0,0,0,1.957
"'010730128051",0,0,0,0,0,0,0.37
"'010730106041",0,0,0,0,0,0,0.453
"'010730123073",0,0,0,0,0,0,1.656
"'010730117071",0,0,0,0,0,0,3.542
